"Date","RBLBANK.NS.Open","RBLBANK.NS.High","RBLBANK.NS.Low","RBLBANK.NS.Close","RBLBANK.NS.Volume","RBLBANK.NS.Adjusted"
2017-11-28,515.75,523.299988,514.650024,521.400024,1072359,521.400024
2017-11-29,523,525.900024,518.599976,521.049988,1269659,521.049988
2017-11-30,518,523,513.950012,516.75,1293861,516.75
2017-12-01,518.700012,529.75,517.5,520.650024,1754302,520.650024
2017-12-04,520.700012,522.650024,507,511.600006,809405,511.600006
2017-12-05,511.600006,512.150024,505.299988,510.450012,550003,510.450012
2017-12-06,509.100006,513.400024,506.700012,509.649994,700531,509.649994
2017-12-07,508.5,515,508.5,510.799988,608800,510.799988
2017-12-08,512,516.700012,511.649994,513.950012,373586,513.950012
2017-12-11,515,518.700012,512,514.049988,597996,514.049988
2017-12-12,515,515.200012,508,510.399994,623576,510.399994
2017-12-13,510,511.899994,506.299988,508.5,2073910,508.5
2017-12-14,511,511,501.5,508.25,1128295,508.25
2017-12-15,512,513,508.75,509.700012,872437,509.700012
2017-12-18,509.5,511.899994,497.75,507,935339,507
2017-12-19,509.950012,519.349976,508.200012,517.450012,2306811,517.450012
2017-12-20,520,523.75,514.299988,516.299988,737003,516.299988
2017-12-21,515.150024,519.849976,512.599976,515.799988,596680,515.799988
2017-12-22,517,518.5,511.299988,515.400024,678570,515.400024
2017-12-26,514,520,513,517.099976,606345,517.099976
2017-12-27,519.400024,519.400024,510,513.849976,417580,513.849976
2017-12-28,510.5,514.75,506,507.399994,525011,507.399994
2017-12-29,508.850006,511.100006,507.850006,510.100006,378997,510.100006
2018-01-01,510,513.799988,508.950012,510,469078,510
2018-01-02,510.899994,513.400024,508.149994,511.649994,616196,511.649994
2018-01-03,513.400024,516.799988,509,514.900024,1510019,514.900024
2018-01-04,519.849976,519.849976,510.700012,517.400024,845849,517.400024
2018-01-05,519,542,515.549988,539.700012,4365631,539.700012
2018-01-08,543.950012,550,540.25,545.450012,1731320,545.450012
2018-01-09,546.799988,547.099976,533.599976,538.900024,826546,538.900024
2018-01-10,538.700012,540.200012,527.599976,529.5,1222398,529.5
2018-01-11,529.099976,542.400024,529.049988,533.599976,1990560,533.599976
2018-01-12,536.799988,539.349976,526.349976,530.75,831501,530.75
2018-01-15,529.549988,537.25,529.549988,530.599976,604395,530.599976
2018-01-16,530,532.299988,518.200012,522.700012,795236,522.700012
2018-01-17,524,530.900024,520,525.5,593309,525.5
2018-01-18,537.400024,540,522.900024,526.299988,1011562,526.299988
2018-01-19,528.5,534.75,518.700012,523.299988,1237585,523.299988
2018-01-22,526,531.900024,521.650024,530.650024,644170,530.650024
2018-01-23,534.950012,543.900024,532.099976,536.700012,2687655,536.700012
