"Date","SOUTHBANK.NS.Open","SOUTHBANK.NS.High","SOUTHBANK.NS.Low","SOUTHBANK.NS.Close","SOUTHBANK.NS.Volume","SOUTHBANK.NS.Adjusted"
2015-07-06,23.357,25.053,23.163,23.2187,8250106,21.68609
2015-07-07,23.792,23.887,23.084,22.3587,5926049,21.436808
2015-07-08,22.895,23.273,22.659,21.815599,3553866,20.916101
2015-07-09,22.801,23.179,22.565,21.951401,3531618,21.046301
2015-07-10,22.895,23.226,22.707,22.087099,4237309,21.176407
2015-07-13,23.037,24.17,22.848,22.992399,4709000,22.044378
2015-07-14,23.981,24.217,23.32,22.4492,4052555,21.523577
2015-07-15,23.462,24.312,23.32,22.9471,10201960,22.000946
2015-07-16,22.659,22.848,22.282,21.7703,12510944,20.872669
2015-07-17,22.659,22.943,22.376,21.7703,4055624,20.872669
2015-07-20,22.707,22.754,22.471,21.5893,3846275,20.699131
2015-07-21,22.423,22.659,21.951,21.1367,2703610,20.265194
2015-07-22,22.046,22.518,21.998,21.4988,2855402,20.612364
2015-07-23,22.423,22.471,22.046,21.1819,3363785,20.308529
2015-07-24,22.093,22.187,21.762,20.9104,2628567,20.048223
2015-07-27,21.762,21.857,21.479,20.684099,2178448,19.831253
2015-07-28,21.574,22.046,21.385,20.819901,3227361,19.961456
2015-07-29,21.715,21.857,21.432,20.819901,2647501,19.961456
2015-07-30,21.762,21.998,21.385,20.5935,4597323,19.74439
2015-07-31,21.668,21.951,21.479,20.684099,3366610,19.831253
2015-08-03,21.574,22.376,21.526,21.2724,3865272,20.395298
2015-08-04,22.234,22.471,21.762,21.1819,3183304,20.308529
2015-08-05,22.234,22.471,22.14,21.363001,4743483,20.482162
2015-08-06,22.234,22.423,21.998,21.1819,2705272,20.308529
2015-08-07,22.093,22.187,21.857,21.0462,1591809,20.178425
2015-08-10,21.951,22.093,21.715,20.955601,3252776,20.09156
2015-08-11,21.904,21.998,21.715,20.9104,2400960,20.048223
2015-08-12,21.762,21.857,21.338,20.5935,3389324,19.74439
2015-08-13,21.479,21.715,21.29,20.4578,3179977,19.614286
2015-08-14,21.432,22.093,21.338,21.0009,2605129,20.134993
2015-08-17,21.951,22.187,21.81,21.0009,2271508,20.134993
2015-08-18,21.951,22.093,21.526,20.7293,1663439,19.874592
2015-08-19,21.621,21.621,21.29,20.5483,1419638,19.701054
2015-08-20,21.385,21.574,21.149,20.322001,1947966,19.484085
2015-08-21,21.102,21.102,20.771,20.005199,5355539,19.180346
2015-08-24,20.535,20.535,17.891,17.6063,7360472,16.880358
2015-08-25,18.836,19.308,17.703,18.285299,6822717,17.531361
2015-08-26,19.072,19.308,18.647,18.3305,5248163,17.574697
2015-08-27,19.26,19.827,19.26,18.8736,4040013,18.095406
2015-08-28,19.921,20.063,19.591,18.8736,2062515,18.095406
2015-08-31,19.78,19.921,19.072,18.466299,2260248,17.704899
2015-09-01,19.072,19.166,18.411,17.7421,3013907,17.010559
2015-09-02,18.694,18.836,18.222,17.5611,2569099,16.837021
2015-09-03,18.599,19.072,18.505,18.059,2111926,17.314392
2015-09-04,18.788,18.836,18.128,17.8326,2171494,17.097326
2015-09-07,18.883,19.213,18.552,18.1495,2960043,17.401161
2015-09-08,19.119,19.921,18.883,18.9189,3154392,18.138836
2015-09-09,19.921,20.205,19.685,19.009399,2398172,18.225605
2015-09-10,19.544,19.874,19.355,18.8736,1753300,18.095406
2015-09-11,19.733,19.874,19.072,18.466299,1585343,17.704899
2015-09-14,19.213,19.402,19.024,18.556801,693846,17.791668
2015-09-15,19.449,19.638,18.788,18.059,2559890,17.314392
2015-09-16,18.977,19.26,18.788,18.1947,2177437,17.444498
2015-09-18,19.308,20.157,19.308,19.1,8595185,18.312471
2015-09-21,19.78,20.393,19.496,19.1905,4269018,18.39924
2015-09-22,20.11,20.393,19.638,18.964199,3907303,18.182268
2015-09-23,19.544,20.157,19.449,19.1,3544709,18.312471
2015-09-24,19.969,23.32,19.827,21.2724,22068692,20.395298
2015-09-28,22.14,22.565,21.479,20.819901,4444342,19.961456
2015-09-29,21.668,21.998,21.149,20.6388,3842887,19.787823
2015-09-30,21.574,22.093,21.29,20.503,3206456,19.657621
2015-10-01,21.526,21.715,20.96,20.231501,2261986,19.397316
2015-10-05,21.196,21.479,21.196,20.4578,1883407,19.614286
2015-10-06,21.479,21.479,21.007,20.367201,5275821,19.527422
2015-10-07,21.385,21.715,21.196,20.503,3803913,19.657621
2015-10-08,21.385,21.574,21.149,20.367201,1970837,19.527422
2015-10-09,21.29,21.479,20.818,20.095699,3276300,19.267115
2015-10-12,21.054,21.29,20.913,20.322001,2948955,19.484085
2015-10-13,21.243,21.385,21.054,20.367201,2701245,19.527422
2015-10-14,21.149,21.668,21.102,20.6388,3513958,19.787823
2015-10-15,21.715,22.046,21.432,20.5935,4906397,19.74439
2015-10-16,21.526,21.857,21.29,20.503,4854070,19.657621
2015-10-19,21.951,21.951,21.196,20.4125,5647997,19.570854
2015-10-20,21.149,21.526,21.149,20.367201,1796336,19.527422
2015-10-21,21.102,21.196,20.771,20.0504,2511984,19.223684
2015-10-23,21.007,21.196,20.629,19.8694,2383910,19.050148
2015-10-26,20.724,20.771,20.441,19.643101,1784541,18.833178
2015-10-27,20.346,20.629,20.205,19.462,3254299,18.659546
2015-10-28,20.205,20.205,19.591,18.9189,4423139,18.138836
2015-10-29,19.78,19.969,19.355,18.647301,10614019,17.878437
2015-10-30,19.449,19.544,19.213,18.5116,2990043,17.748333
2015-11-02,19.402,19.544,19.024,18.6926,3477632,17.921869
2015-11-03,19.449,19.638,19.166,18.421,2063146,17.661467
2015-11-04,19.308,20.299,19.26,18.9189,6800394,18.138836
2015-11-05,19.78,19.78,19.355,18.6021,1818502,17.8351
2015-11-06,19.402,19.449,19.26,18.556801,1579421,17.791668
2015-11-09,19.072,19.591,18.694,18.647301,2020914,17.878437
2015-11-10,19.638,19.638,19.166,18.421,1181992,17.661467
