"Date","KTKBANK.NS.Open","KTKBANK.NS.High","KTKBANK.NS.Low","KTKBANK.NS.Close","KTKBANK.NS.Volume","KTKBANK.NS.Adjusted"
2008-11-28,54.926899,58.200001,54.926899,56.2813,81964,37.432854
2008-12-01,55.754601,57.710899,54.588299,55.453602,56625,36.882355
2008-12-02,54.550701,55.5289,53.497299,54.249802,114057,36.081703
2008-12-03,56.394199,56.394199,54.212101,54.550701,26356,36.281834
2008-12-04,54.437901,57.1842,54.362598,56.7328,35750,37.73315
2008-12-05,57.221802,58.689098,55.905102,56.507,48713,37.582973
2008-12-08,58.689098,58.689098,55.679401,55.905102,45610,37.182652
2008-12-10,56.093201,58.237598,55.792198,57.372299,44588,38.158485
2008-12-11,57.221802,60.758202,57.221802,58.651402,361178,39.00922
2008-12-12,57.861401,58.689098,56.507,58.350498,35687,38.80909
2008-12-15,58.990002,61.473,58.7267,60.344398,450333,40.135239
2008-12-16,63.8055,66.965698,63.128399,64.369904,1259579,42.812614
2008-12-17,65.536102,65.536102,57.2971,57.748501,507243,38.408703
2008-12-18,57.146599,61.623501,55.980301,58.914799,705791,39.18441
2008-12-19,60.193901,61.585899,59.441502,60.0434,414332,39.935043
2008-12-22,60.532501,62.112598,59.102901,59.328602,315419,39.459625
2008-12-23,58.350498,59.102901,56.695099,56.920898,182032,37.858257
2008-12-24,55.792198,59.366199,55.679401,58.6138,813722,38.984215
2008-12-26,70.4739,70.4739,56.770401,57.146599,92053,38.008377
2008-12-29,57.560398,58.312901,55.716999,57.9366,98752,38.533806
2008-12-30,57.9366,59.0653,57.221802,58.463299,198926,38.884117
2008-12-31,58.9524,61.247299,58.350498,59.366199,252018,39.484631
2009-01-02,59.253399,62.3759,58.689098,61.247299,1291384,40.735767
2009-01-05,61.999699,65.047096,61.999699,62.6017,337859,41.636581
2009-01-06,60.457298,63.203602,60.457298,61.360199,188765,40.810848
2009-01-07,62.2631,62.413601,56.431801,57.786201,206922,38.433777
2009-01-09,70.658699,70.658699,54.249802,56.394199,146915,37.50795
2009-01-12,55.679401,56.507,54.475498,54.701199,117047,36.381927
2009-01-13,54.550701,56.055599,53.4221,54.136902,82516,36.006615
2009-01-14,54.325001,55.3032,53.4221,54.061699,94429,35.956596
2009-01-15,54.136902,54.136902,49.923302,53.384499,111420,35.506191
2009-01-16,54.136902,54.776501,53.4221,54.249802,75851,36.081703
2009-01-19,54.8517,57.748501,54.550701,56.243698,86593,37.407848
2009-01-20,53.8736,55.679401,53.572601,55.0774,115570,36.632149
2009-01-21,53.948799,55.5289,51.917301,53.008301,94715,35.255978
2009-01-22,54.136902,54.926899,52.7449,54.437901,72193,36.206814
2009-01-23,54.1745,54.1745,51.164799,51.352901,1052750,34.154964
2009-01-27,52.7449,53.346901,51.352901,51.841999,158094,34.48027
2009-01-28,52.669701,54.588299,52.519199,53.685501,102771,35.706387
2009-01-29,54.1745,55.679401,51.9925,54.5131,706826,36.256824
2009-01-30,54.7388,54.7388,53.4221,54.023998,45615,35.931522
2009-02-02,53.4221,53.798302,52.932999,53.271599,58108,35.431099
2009-02-03,53.4221,53.723099,51.541,52.368698,470953,34.830582
2009-02-04,52.669701,53.572601,52.519199,52.895401,71072,35.180882
2009-02-05,52.7449,53.271599,52.293499,52.707298,39692,35.055782
2009-02-06,52.782501,53.346901,52.481602,52.669701,47048,35.030769
2009-02-09,53.4221,53.8736,52.820202,53.234001,38573,35.40609
2009-02-10,53.6478,54.1745,52.820202,53.7607,70052,35.756401
2009-02-11,52.932999,53.723099,52.932999,53.572601,40653,35.631298
2009-02-12,53.1964,54.249802,52.932999,54.023998,19908,35.931522
2009-02-13,53.798302,54.5131,53.271599,53.4221,65197,35.531193
2009-02-16,53.535,53.986401,52.481602,52.707298,42597,35.055782
2009-02-17,51.3153,52.669701,51.3153,52.030102,36152,34.605377
2009-02-18,52.030102,53.4221,51.465801,52.1054,84555,34.65546
2009-02-19,52.143002,53.045898,51.729099,52.255798,28029,34.755489
2009-02-20,52.3311,52.3311,50.487598,51.240101,66548,34.079948
2009-02-24,50.412399,51.503399,47.703701,48.079899,918352,31.97809
2009-02-25,48.9076,49.622398,47.590801,48.155102,77297,32.028103
2009-02-26,48.719501,48.719501,45.822601,46.988899,215937,31.252459
2009-02-27,46.575001,48.155102,46.048302,47.816502,61814,31.8029
2009-03-02,46.650299,47.402699,45.145401,45.145401,723667,30.026342
2009-03-03,46.048302,46.048302,44.882099,45.145401,49701,30.026342
2009-03-04,45.371201,47.966999,45.183102,47.478001,89290,31.577761
2009-03-05,48.155102,48.493698,44.543499,45.295898,82796,30.12644
2009-03-06,45.145401,46.048302,43.6782,45.596901,60967,30.326633
2009-03-09,45.220699,45.747398,41.759499,42.286201,92179,28.124678
2009-03-12,44.317799,44.393002,42.888199,43.9039,104143,29.200611
2009-03-13,45.145401,45.8979,44.656399,45.258301,50305,30.101429
2009-03-16,46.198799,47.7789,45.596901,47.176998,81163,31.37756
2009-03-17,46.8008,47.7789,46.7631,46.951199,51246,31.227381
2009-03-18,46.650299,48.832298,45.935501,47.929401,81462,31.877987
2009-03-19,47.7789,48.9076,47.4403,48.155102,57345,32.028103
2009-03-20,47.7789,48.681801,47.252201,48.155102,43266,32.028103
2009-03-23,48.155102,49.735199,47.666,49.509499,103818,32.928913
2009-03-24,50.261902,51.917301,49.471901,49.810501,384097,33.129105
2009-03-25,50.3372,51.014301,49.020401,50.186699,464410,33.379318
2009-03-26,51.164799,52.519199,50.450001,51.917301,203264,34.530354
2009-03-27,52.669701,56.394199,49.8857,50.9767,578126,33.904751
2009-03-30,50.487598,51.503399,47.5532,49.095699,507625,32.653694
