"Date","CAPPIPES.BO.Open","CAPPIPES.BO.High","CAPPIPES.BO.Low","CAPPIPES.BO.Close","CAPPIPES.BO.Volume","CAPPIPES.BO.Adjusted"
2016-06-24,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-06-27,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-06-28,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-06-29,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-06-30,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-01,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-04,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-05,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-07,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-08,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-11,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-12,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-13,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-14,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-15,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-18,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-19,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-20,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-21,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-22,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-25,40.450001,40.450001,40.450001,40.450001,0,40.450001
2016-07-26,41,41,41,41,3000,41
2016-07-27,41,41,41,41,6000,41
2016-07-28,41,41,41,41,0,41
2016-07-29,41,41,41,41,0,41
2016-08-01,41,41,41,41,0,41
2016-08-02,41,41,41,41,0,41
2016-08-03,41.099998,48.799999,41.099998,46.049999,60000,46.049999
2016-08-04,46.049999,46.049999,46.049999,46.049999,0,46.049999
2016-08-05,45,45,45,45,3000,45
2016-08-08,45,45,45,45,0,45
2016-08-09,45,45,45,45,0,45
2016-08-10,45.299999,45.299999,45.299999,45.299999,3000,45.299999
2016-08-11,47.5,48.5,47,47.75,12000,47.75
2016-08-12,49,49,49,49,3000,49
2016-08-16,49,58.799999,49,58.799999,27000,58.799999
2016-08-17,58.799999,58.799999,58.799999,58.799999,0,58.799999
2016-08-18,58.799999,58.799999,58.799999,58.799999,0,58.799999
2016-08-19,58.799999,58.799999,58.799999,58.799999,0,58.799999
2016-08-22,58.799999,58.799999,58.799999,58.799999,0,58.799999
2016-08-23,58.799999,58.799999,58.799999,58.799999,0,58.799999
2016-08-24,58.799999,58.799999,58.799999,58.799999,0,58.799999
2016-08-25,58.799999,58.799999,58.799999,58.799999,0,58.799999
2016-08-26,58.799999,58.799999,58.799999,58.799999,0,58.799999
2016-08-29,58.799999,58.799999,58.799999,58.799999,0,58.799999
2016-08-30,58.799999,58.799999,58.799999,58.799999,0,58.799999
2016-08-31,58.799999,58.799999,58.799999,58.799999,0,58.799999
2016-09-01,53,54.25,53,54.25,6000,54.25
2016-09-02,54.25,54.25,54.25,54.25,0,54.25
2016-09-06,54.25,60,54.25,60,3000,60
2016-09-07,70,72,70,72,12000,72
2016-09-08,65,65,65,65,3000,65
2016-09-09,70.849998,71,70.849998,70.949997,6000,70.949997
2016-09-12,70.949997,70.949997,70.949997,70.949997,0,70.949997
2016-09-14,70.949997,70.949997,70.949997,70.949997,0,70.949997
2016-09-15,73,75,73,75,6000,75
