"Date","RELINFRA.NS.Open","RELINFRA.NS.High","RELINFRA.NS.Low","RELINFRA.NS.Close","RELINFRA.NS.Volume","RELINFRA.NS.Adjusted"
2015-12-15,434.636,441.501,432.106,423.149994,1596462,409.874481
2015-12-16,439.282,458.278,437.836,436.799988,2890155,423.096252
2015-12-17,453.683,457.813,446.612,442.200012,1991820,428.326843
2015-12-18,453.219,468.55,451.464,450.100006,2498499,435.979004
2015-12-21,463.801,471.492,460.859,454.5,1500591,440.240967
2015-12-22,472.215,478.099,465.091,452.200012,1816572,438.013123
2015-12-23,471.802,476.861,467.776,457.850006,1415100,443.48587
2015-12-24,477.738,511.962,476.964,493.200012,8975165,477.726807
2015-12-28,510.826,518.879,503.341,491.200012,3911714,475.789551
2015-12-29,509.019,528.48,508.968,508.5,7008636,492.546814
2015-12-30,528.067,534.261,521.563,514.900024,5187882,498.746033
2015-12-31,533.694,567.814,529.409,543.950012,9870726,526.884644
2016-01-01,561.568,615.201,558.987,591.75,10506462,573.184998
2016-01-04,608.542,625.112,594.398,599.950012,11328304,581.127747
2016-01-05,624.854,642.043,618.556,613,10174693,593.768311
2016-01-06,633.68,633.887,607.509,592.400024,7986489,573.814636
2016-01-07,596.721,603.845,578.551,565.450012,6431889,547.710083
2016-01-08,594.347,609.058,592.695,581.200012,7163613,562.965942
2016-01-11,598.682,612.207,591.714,584,6439344,565.678162
2016-01-12,604.67,609.626,581.08,572.5,4685641,554.538879
2016-01-13,598.786,601.057,542.366,545.599976,9193851,528.482849
2016-01-14,552.122,559.348,534.158,532.25,5270763,515.551697
2016-01-15,554.393,571.84,498.541,492.899994,7774144,477.436218
2016-01-18,505.871,523.06,479.648,471.299988,7328283,456.513855
2016-01-19,492.656,504.632,476.448,475.399994,7512842,460.485229
2016-01-20,479.442,481.093,450.277,454.700012,5568699,440.434662
2016-01-21,477.17,484.139,459.671,456.850006,6878116,442.517212
2016-01-22,484.191,484.191,466.382,459.5,5085312,445.084076
2016-01-25,479.029,481.093,448.367,438.25,4138308,424.500763
2016-01-27,454.716,468.705,449.709,451.299988,5344769,437.141327
2016-01-28,467.93,479.029,462.149,456.950012,8984372,442.614075
2016-01-29,471.802,493.276,467.156,471.200012,5353212,456.417023
2016-02-01,490.849,490.849,471.028,460.700012,3210382,446.24646
2016-02-02,476.138,486.255,458.381,449.149994,4053394,435.058777
2016-02-03,455.284,462.51,445.063,435.350006,3830721,421.691742
2016-02-04,456.626,458.174,413.265,408.75,5639280,395.92627
2016-02-05,433.603,457.245,426.377,437.200012,6872638,423.483704
2016-02-08,452.186,460.962,441.811,432.149994,4507373,418.592133
2016-02-09,435.926,446.25,433.758,423.350006,3197880,410.068237
2016-02-10,436.184,458.897,435.152,441.899994,6949315,428.036255
2016-02-11,458.897,461.271,411.407,402.950012,5646856,390.308228
2016-02-12,420.337,427.409,400.051,402.850006,4963304,390.211365
2016-02-15,425.344,448.883,423.28,424.700012,3019040,411.375885
2016-02-16,442.585,446.818,416.621,404.850006,3934748,392.148621
2016-02-17,420.286,435.565,406.761,418.049988,4743664,404.934479
2016-02-18,439.54,443.256,418.479,413.75,3593627,400.769379
2016-02-19,425.293,435.668,424.467,418.200012,2799569,405.079803
2016-02-22,433.397,439.798,431.9,422.25,2406802,409.002716
2016-02-23,436.339,441.656,423.538,413.350006,3570607,400.381958
2016-02-24,423.434,432.261,421.215,411.049988,2570233,398.154114
